ciudad,latitude,longitude
Villanueva del Arzobispo,38.1685887,-3.0078293
Úbeda,38.0111398,-3.3719098
Monteagudo,41.9620037,-1.6939437
Pineda de Mar,41.6276807,2.6898707
Llerona,41.648239,2.2987482
La Puebla de Alfindén,41.631587,-0.7508841
El Cigarral,39.9924416,-4.7323869
Revilla de Camargo,43.4064272,-3.8638096
San Bizenti-Barakaldo,43.295233,-2.9929795
Montcada i Reixac,41.4823115,2.1869985
Griñón,40.2136607,-3.8581479
Sant Fruitós de Bages,41.7532735,1.8749418
Lugar Nuevo de La Corona,39.4204988,-0.3819899
Vilagarcía de Arousa,42.5950502,-8.7430537
Gavà,41.3050933,2.0063126
Palamós,41.8495354,3.1278785
Arganda del Rey,40.3007708,-3.4380688
Benimamet,39.5001834,-0.4188584
O Birloque,43.3409296,-8.4163957
Perillo,43.3347644,-8.3730719
Poligono Fuente del Jarro,39.516271,-0.4682993
Tortosa,40.8110158,0.5209333
Cieza,43.2230443,-4.1248734
Villares de la Reina,41.0091562,-5.6489616
Orbazai,43.0084729,-7.5898446
Manises,39.492989,-0.4621429
Caldes de Montbui,41.632265,2.1676442
Constantí,41.1528113,1.2136747
Los Montesinos,38.0274262,-0.7434529
Poligono Los Villares Reina,40.9887491,-5.6459797
Villena,38.6360967,-0.8659745
Ajalvir,40.5342302,-3.4807818
Valverde de Leganés,38.6706374,-6.9808325
Sant Quirze del Vallès,41.530143,2.0820052
Majadahonda,40.4728425,-3.8723542
Foios,39.5381541,-0.3561396
Espinardo,38.0084441,-1.1555733
Cabrera de Mar,41.5276986,2.3925117
Santimami,43.287776,-2.8868385
Sant Vicent del Raspeig,38.3964248,-0.5250339
Durango,43.1707065,-2.6334897
Torrevieja,37.9775416,-0.6828446
Granda,43.5027775,-5.6599339
Fuengirola,36.5388398,-4.6233974
Torrent,39.436668,-0.4656213
Cerdanyola del Vallès,41.4910324,2.1374969
Alcantarilla,37.9680649,-1.2149543
La Puebla del Río,37.2698207,-6.0627241
Alaquas,39.4572928,-0.46098
Muxa,43.0775101,-8.4087228
Viator,36.8887282,-2.4251246
Elda,38.4789671,-0.7956759
Almagro,38.888238,-3.7118218
Trapaga-Causo,43.2974877,-3.0219539
Inca,39.7211448,2.9111493
Berga,42.1011456,1.8454758
Vinaros,40.4703992,0.4746076
Nava,43.3582544,-5.5057607
Palencia,42.4096322,-4.6161004
Barbera del Valles,41.5172534,2.1265942
Jerez de la Frontera,36.6816936,-6.1377402
Coiros de Arriba,43.2503652,-8.1659646
Martorell,41.4769177,1.9283971
Montijo,38.9098936,-6.6151799
Tarrega,41.6472761,1.1409115
Rubí,41.4936194,2.0319476
Artatza,42.9025504,-2.7426464
Xirivella,39.4639546,-0.4293866
La Llagosta,41.5139877,2.1912073
La Papiola,41.2448453,1.5198486
Roquetas de Mar,36.7630203,-2.6115886
Cúllar Vega,37.1535419,-3.6703193
Cogullada,41.6705886,-0.8577839
Las Navas del Marqués,40.6038003,-4.3278957
Coria del Río,37.2892112,-6.0535287
